Database backup created at: 2025-08-06 23:28:04.650727

Record 14: {'id': 79, 'timestamp': 1726790400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2370080302567.7056, 'btc_market_cap': 1243871590271.4927, 'eth_market_cap': 296680606397.51587, 'btc_price': 62966.52931910512, 'alt_market_cap': 829528105898.697, 'alt_strength_ratio': 13174111.942787422, 'btc_dominance': 52.482255091690476, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 15: {'id': 80, 'timestamp': 1726876800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2390865916737.3687, 'btc_market_cap': 1246475981189.1353, 'eth_market_cap': 307586864690.1545, 'btc_price': 63128.224540748255, 'alt_market_cap': 836803070858.0789, 'alt_strength_ratio': 13255609.15019772, 'btc_dominance': 52.13491783303789, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 16: {'id': 81, 'timestamp': 1726963200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2414242261886.7847, 'btc_market_cap': 1254104417392.48, 'eth_market_cap': 315153052833.9301, 'btc_price': 63403.402349259355, 'alt_market_cap': 844984791660.3745, 'alt_strength_ratio': 13327120.633144464, 'btc_dominance': 51.94608831063909, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 17: {'id': 82, 'timestamp': 1727049600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2410369551707.7495, 'btc_market_cap': 1255899286380.1958, 'eth_market_cap': 310840922229.8413, 'btc_price': 63582.59956924825, 'alt_market_cap': 843629343097.7124, 'alt_strength_ratio': 13268242.393564137, 'btc_dominance': 52.10401390485495, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 18: {'id': 83, 'timestamp': 1727136000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2415017257031.013, 'btc_market_cap': 1251095079247.0432, 'eth_market_cap': 318666137823.1156, 'btc_price': 63327.02654450202, 'alt_market_cap': 845256039960.8544, 'alt_strength_ratio': 13347477.152852971, 'btc_dominance': 51.80480907971321, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 19: {'id': 84, 'timestamp': 1727222400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2447243510318.61, 'btc_market_cap': 1271183646356.5713, 'eth_market_cap': 319524635350.52515, 'btc_price': 64334.14274876097, 'alt_market_cap': 856535228611.5134, 'alt_strength_ratio': 13313851.588206789, 'btc_dominance': 51.94348829598384, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 20: {'id': 85, 'timestamp': 1727308800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2393225061838.366, 'btc_market_cap': 1245721254991.302, 'eth_market_cap': 309875035203.6359, 'btc_price': 63151.89959401337, 'alt_market_cap': 837628771643.4282, 'alt_strength_ratio': 13263714.583857635, 'btc_dominance': 52.0519893784831, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 21: {'id': 86, 'timestamp': 1727395200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2467662062415.573, 'btc_market_cap': 1287151352432.846, 'eth_market_cap': 316828988137.27673, 'btc_price': 65130.76884023231, 'alt_market_cap': 863681721845.4506, 'alt_strength_ratio': 13260732.787664263, 'btc_dominance': 52.16076269263809, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 22: {'id': 87, 'timestamp': 1727481600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2499061347864.2227, 'btc_market_cap': 1299708226182.0723, 'eth_market_cap': 324681649929.6723, 'btc_price': 65791.00212541742, 'alt_market_cap': 874671471752.478, 'alt_strength_ratio': 13294697.504152488, 'btc_dominance': 52.00785596131301, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 23: {'id': 88, 'timestamp': 1727568000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2501507118257.3267, 'btc_market_cap': 1303217687717.8518, 'eth_market_cap': 322761939149.4107, 'btc_price': 65934.10709441357, 'alt_market_cap': 875527491390.0642, 'alt_strength_ratio': 13278825.32990646, 'btc_dominance': 52.09730079144198, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
